COUNTRY,Country,EMPSTAT,Employment status,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUT,Austria,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1782.8,,
AUT,Austria,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1774,,
AUT,Austria,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1776.5,,
AUT,Austria,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1752.5,,
AUT,Austria,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1735.7,,
AUT,Austria,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1724.8,,
AUT,Austria,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1717.2,,
AUT,Austria,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1673.1,,
AUT,Austria,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1665.8,,
AUT,Austria,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1671.7,,
AUT,Austria,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1647.9,,
AUT,Austria,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1632.1,,
AUT,Austria,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1621.6,,
AUT,Austria,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1598.9,,
AUT,Austria,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1609.4,,
AUT,Austria,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1613.1,,
BEL,Belgium,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1459,,
BEL,Belgium,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1455,,
BEL,Belgium,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1447,,
BEL,Belgium,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1448,,
BEL,Belgium,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1449,,
BEL,Belgium,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1444,,
BEL,Belgium,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1445,,
BEL,Belgium,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1448,,
BEL,Belgium,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1443,,
BEL,Belgium,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1421,,
BEL,Belgium,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1420,,
BEL,Belgium,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1430,,
BEL,Belgium,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1431,,
BEL,Belgium,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1429,,
BEL,Belgium,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1426,,
BEL,Belgium,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1423,,
BEL,Belgium,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1424,,
BEL,Belgium,DE,Dependent employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1426,,
BEL,Belgium,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1595,,
BEL,Belgium,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1588,,
BEL,Belgium,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1583,,
BEL,Belgium,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1578,,
BEL,Belgium,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1573,,
BEL,Belgium,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1565,,
BEL,Belgium,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1572,,
BEL,Belgium,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1577,,
BEL,Belgium,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1570,,
BEL,Belgium,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1548,,
BEL,Belgium,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1546,,
BEL,Belgium,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1560,,
BEL,Belgium,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1560,,
BEL,Belgium,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1558,,
BEL,Belgium,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1555,,
BEL,Belgium,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1545,,
BEL,Belgium,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1546,,
CAN,Canada,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1773,,
CAN,Canada,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1764,,
CAN,Canada,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1752,,
CAN,Canada,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1744,,
CAN,Canada,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1754,,
CAN,Canada,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1746,,
CAN,Canada,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1744,,
CAN,Canada,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1740,,
CAN,Canada,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1736,,
CAN,Canada,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1703,,
CAN,Canada,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1707,,
CAN,Canada,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1706,,
CAN,Canada,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1720,,
CAN,Canada,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1715,,
CAN,Canada,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1713,,
CAN,Canada,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1717,,
CAN,Canada,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1715,,
CAN,Canada,DE,Dependent employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1706,,
CAN,Canada,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1779,,
CAN,Canada,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1771,,
CAN,Canada,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1754,,
CAN,Canada,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1746,,
CAN,Canada,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1759,,
CAN,Canada,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1747,,
CAN,Canada,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1745,,
CAN,Canada,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1741,,
CAN,Canada,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1735,,
CAN,Canada,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1701,,
CAN,Canada,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1703,,
CAN,Canada,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1700,,
CAN,Canada,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1713,,
CAN,Canada,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1711,,
CAN,Canada,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1706,,
CAN,Canada,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1711,,
CAN,Canada,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1706,,
CAN,Canada,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1695,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,2018,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1922,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1896,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1882,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1900,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1923,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1922,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1914,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1923,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1879,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1883,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1864,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1846.74,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1824.59,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1826.06,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1810.88,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1833,,
CZE,Czech Republic,DE,Dependent employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1805,,
CZE,Czech Republic,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1896,,
CZE,Czech Republic,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1818,,
CZE,Czech Republic,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1816,,
CZE,Czech Republic,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1806,,
CZE,Czech Republic,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1817,,
CZE,Czech Republic,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1817,,
CZE,Czech Republic,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1799,,
CZE,Czech Republic,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1784,,
CZE,Czech Republic,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1790,,
CZE,Czech Republic,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1779,,
CZE,Czech Republic,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1800,,
CZE,Czech Republic,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1806,,
CZE,Czech Republic,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1776,,
CZE,Czech Republic,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1763,,
CZE,Czech Republic,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1777,,
CZE,Czech Republic,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1756,,
CZE,Czech Republic,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1778,,
CZE,Czech Republic,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1776,,
DNK,Denmark,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1407.34,,
DNK,Denmark,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1413.84,,
DNK,Denmark,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1403.07,,
DNK,Denmark,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1399.84,,
DNK,Denmark,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1401.89,,
DNK,Denmark,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1401.99,,
DNK,Denmark,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1409.55,,
DNK,Denmark,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1390,,
DNK,Denmark,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1389.47,,
DNK,Denmark,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1391.97,,
DNK,Denmark,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1374.53,,
DNK,Denmark,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1387.59,,
DNK,Denmark,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1386.94,,
DNK,Denmark,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1369.68,,
DNK,Denmark,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1411,,
DNK,Denmark,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1407,,
DNK,Denmark,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1416,,
DNK,Denmark,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1466,,
DNK,Denmark,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1469,,
DNK,Denmark,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1463,,
DNK,Denmark,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1458,,
DNK,Denmark,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1458,,
DNK,Denmark,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1451,,
DNK,Denmark,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1456,,
DNK,Denmark,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1433,,
DNK,Denmark,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1430,,
DNK,Denmark,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1417,,
DNK,Denmark,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1422,,
DNK,Denmark,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1437,,
DNK,Denmark,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1423,,
DNK,Denmark,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1426,,
DNK,Denmark,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1414,,
DNK,Denmark,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1407,,
DNK,Denmark,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1414,,
DNK,Denmark,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1408,,
FIN,Finland,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1638,,
FIN,Finland,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1616,,
FIN,Finland,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1609,,
FIN,Finland,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1596,,
FIN,Finland,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1622,,
FIN,Finland,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1605,,
FIN,Finland,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1600,,
FIN,Finland,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1594,,
FIN,Finland,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1610,,
FIN,Finland,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1555,,
FIN,Finland,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1584,,
FIN,Finland,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1578,,
FIN,Finland,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1575,,
FIN,Finland,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1568,,
FIN,Finland,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1572,,
FIN,Finland,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1574,,
FIN,Finland,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1602,,
FIN,Finland,DE,Dependent employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1601,,
FIN,Finland,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1742,,
FIN,Finland,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1723,,
FIN,Finland,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1714,,
FIN,Finland,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1705,,
FIN,Finland,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1707,,
FIN,Finland,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1697,,
FIN,Finland,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1693,,
FIN,Finland,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1691,,
FIN,Finland,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1685,,
FIN,Finland,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1661,,
FIN,Finland,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1668,,
FIN,Finland,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1662,,
FIN,Finland,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1650,,
FIN,Finland,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1640,,
FIN,Finland,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1636,,
FIN,Finland,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1637,,
FIN,Finland,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1635,,
FIN,Finland,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1628,,
FRA,France,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1445.23,,
FRA,France,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1429.96,,
FRA,France,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1401.46,,
FRA,France,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1406.83,,
FRA,France,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1430.07,,
FRA,France,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1432.72,,
FRA,France,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1416.53,,
FRA,France,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1437.1,,
FRA,France,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1447,,
FRA,France,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1431.1,,
FRA,France,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1438.55,,
FRA,France,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1445.77,,
FRA,France,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1440.53,,
FRA,France,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1427.91,,
FRA,France,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1424.97,,
FRA,France,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1427.07,,
FRA,France,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1422.72,,
FRA,France,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1549.98,,
FRA,France,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1530.47,,
FRA,France,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1497.31,,
FRA,France,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1502.1,,
FRA,France,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1526.01,,
FRA,France,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1527.35,,
FRA,France,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1510.61,,
FRA,France,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1530.01,,
FRA,France,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1537.78,,
FRA,France,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1521.26,,
FRA,France,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1527.96,,
FRA,France,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1534.62,,
FRA,France,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1528.91,,
FRA,France,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1513.9,,
FRA,France,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1508.97,,
FRA,France,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1509.43,,
FRA,France,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1502.73,,
FRA,France,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1514,,
DEU,Germany,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1359.5,,
DEU,Germany,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1352.7,,
DEU,Germany,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1344.8,,
DEU,Germany,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1339.1,,
